region_name,country_name,value,region_total,share_of_region
Europe,France,2267094.0,13417355.0,0.1689672815543749
Europe,Germany,4360221.0,13417355.0,0.3249687438396018
Europe,United Kingdom,6790040.0,13417355.0,0.5060639746060234
North East Asia,China,26184808.0,56002224.0,0.4675672880419892
North East Asia,Hong Kong,16813276.0,56002224.0,0.3002251482012572
North East Asia,Japan,13004140.0,56002224.0,0.23220756375675367
South East Asia,Indonesia,36609034.0,114309020.0,0.320263737717286
South East Asia,Malaysia,28895166.0,114309020.0,0.2527811541031495
South East Asia,Philippines,12980605.0,114309020.0,0.11355713661091661
South East Asia,Thailand,25355193.0,114309020.0,0.22181270559401173
South East Asia,Vietnam,10469022.0,114309020.0,0.09158526597463612
