month,value,year,month_of_year
1961-01-01,11355,1961,1
1961-02-01,11060,1961,2
1961-03-01,12884,1961,3
1961-04-01,13162,1961,4
1961-05-01,11895,1961,5
1961-06-01,10897,1961,6
1961-07-01,12350,1961,7
1961-08-01,12959,1961,8
1961-09-01,13202,1961,9
1961-10-01,13218,1961,10
1961-11-01,13314,1961,11
1961-12-01,13463,1961,12
1962-01-01,12949,1962,1
1962-02-01,12432,1962,2
1962-03-01,14028,1962,3
1962-04-01,14933,1962,4
1962-05-01,13975,1962,5
1962-06-01,12547,1962,6
1962-07-01,13904,1962,7
1962-08-01,14877,1962,8
1962-09-01,15255,1962,9
1962-10-01,14717,1962,10
1962-11-01,15993,1962,11
1962-12-01,15528,1962,12
1963-01-01,14363,1963,1
1963-02-01,13699,1963,2
1963-03-01,15784,1963,3
1963-04-01,17060,1963,4
1963-05-01,15784,1963,5
1963-06-01,13725,1963,6
1963-07-01,16687,1963,7
1963-08-01,17600,1963,8
1963-09-01,16687,1963,9
1963-10-01,15086,1963,10
1963-11-01,16353,1963,11
1963-12-01,15122,1963,12
1964-01-01,14346,1964,1
1964-02-01,17312,1964,2
1964-03-01,17275,1964,3
1964-04-01,17125,1964,4
1964-05-01,16546,1964,5
1964-06-01,14148,1964,6
1964-07-01,15594,1964,7
1964-08-01,16818,1964,8
1964-09-01,15232,1964,9
1964-10-01,16309,1964,10
1964-11-01,18335,1964,11
1964-12-01,19589,1964,12
1965-01-01,17955,1965,1
1965-02-01,17528,1965,2
1965-03-01,19093,1965,3
1965-04-01,20331,1965,4
1965-05-01,19870,1965,5
1965-06-01,16298,1965,6
1965-07-01,19684,1965,7
1965-08-01,21016,1965,8
1965-09-01,20302,1965,9
1965-10-01,19955,1965,10
1965-11-01,20426,1965,11
1965-12-01,21269,1965,12
1966-01-01,20684,1966,1
1966-02-01,19138,1966,2
1966-03-01,19557,1966,3
1966-04-01,22675,1966,4
1966-05-01,21228,1966,5
1966-06-01,19913,1966,6
1966-07-01,23038,1966,7
1966-08-01,24675,1966,8
1966-09-01,23185,1966,9
1966-10-01,24043,1966,10
1966-11-01,25736,1966,11
1966-12-01,28318,1966,12
1967-01-01,25437,1967,1
1967-02-01,24733,1967,2
1967-03-01,26682,1967,3
1967-04-01,30273,1967,4
1967-05-01,28255,1967,5
1967-06-01,25942,1967,6
1967-07-01,31328,1967,7
1967-08-01,33880,1967,8
1967-09-01,30271,1967,9
1967-10-01,30784,1967,10
1967-11-01,32377,1967,11
1967-12-01,33996,1967,12
1968-01-01,31725,1968,1
1968-02-01,31165,1968,2
1968-03-01,32437,1968,3
1968-04-01,35624,1968,4
1968-05-01,34107,1968,5
1968-06-01,31511,1968,6
1968-07-01,35185,1968,7
1968-08-01,38765,1968,8
1968-09-01,33844,1968,9
1968-10-01,36538,1968,10
1968-11-01,36944,1968,11
1968-12-01,39011,1968,12
1969-01-01,38662,1969,1
1969-02-01,35532,1969,2
1969-03-01,40554,1969,3
1969-04-01,45544,1969,4
1969-05-01,40752,1969,5
1969-06-01,39376,1969,6
1969-07-01,45626,1969,7
1969-08-01,48201,1969,8
1969-09-01,46206,1969,9
1969-10-01,48264,1969,10
1969-11-01,51158,1969,11
1969-12-01,55030,1969,12
1970-01-01,49616,1970,1
1970-02-01,45303,1970,2
1970-03-01,52506,1970,3
1970-04-01,57612,1970,4
1970-05-01,57174,1970,5
1970-06-01,53564,1970,6
1970-07-01,63288,1970,7
1970-08-01,67359,1970,8
1970-09-01,61152,1970,9
1970-10-01,56265,1970,10
1970-11-01,58300,1970,11
1970-12-01,66491,1970,12
1971-01-01,63362,1971,1
1971-02-01,57256,1971,2
1971-03-01,61145,1971,3
1971-04-01,66839,1971,4
1971-05-01,67752,1971,5
1971-06-01,62478,1971,6
1971-07-01,67672,1971,7
1971-08-01,78000,1971,8
1971-09-01,71202,1971,9
1971-10-01,75469,1971,10
1971-11-01,78591,1971,11
1971-12-01,86030,1971,12
1972-01-01,77313,1972,1
1972-02-01,76263,1972,2
1972-03-01,81697,1972,3
1972-04-01,82510,1972,4
1972-05-01,81976,1972,5
1972-06-01,79998,1972,6
1972-07-01,82762,1972,7
1972-08-01,94615,1972,8
1972-09-01,85910,1972,9
1972-10-01,91748,1972,10
1972-11-01,97175,1972,11
1972-12-01,107285,1972,12
1973-01-01,104633,1973,1
1973-02-01,98860,1973,2
1973-03-01,100881,1973,3
1973-04-01,110629,1973,4
1973-05-01,112819,1973,5
1973-06-01,102209,1973,6
1973-07-01,113549,1973,7
1973-08-01,124116,1973,8
1973-09-01,118453,1973,9
1973-10-01,121606,1973,10
1973-11-01,130741,1973,11
1973-12-01,135437,1973,12
1974-01-01,129063,1974,1
1974-02-01,114197,1974,2
1974-03-01,120810,1974,3
1974-04-01,120418,1974,4
1974-05-01,120428,1974,5
1974-06-01,121255,1974,6
1974-07-01,122402,1974,7
1974-08-01,141052,1974,8
1974-09-01,122212,1974,9
1974-10-01,125746,1974,10
1974-11-01,131768,1974,11
1974-12-01,144381,1974,12
1975-01-01,134492,1975,1
1975-02-01,123169,1975,2
1975-03-01,135029,1975,3
1975-04-01,131783,1975,4
1975-05-01,134397,1975,5
1975-06-01,129721,1975,6
1975-07-01,134239,1975,7
1975-08-01,160626,1975,8
1975-09-01,142268,1975,9
1975-10-01,142090,1975,10
1975-11-01,151272,1975,11
1975-12-01,157877,1975,12
1976-01-01,156949,1976,1
1976-02-01,138719,1976,2
1976-03-01,147434,1976,3
1976-04-01,147280,1976,4
1976-05-01,154962,1976,5
1976-06-01,144929,1976,6
1976-07-01,154309,1976,7
1976-08-01,176872,1976,8
1976-09-01,158732,1976,9
1976-10-01,157211,1976,10
1976-11-01,165310,1976,11
1976-12-01,178181,1976,12
1977-01-01,173567,1977,1
1977-02-01,152595,1977,2
1977-03-01,169530,1977,3
1977-04-01,167823,1977,4
1977-05-01,170822,1977,5
1977-06-01,165728,1977,6
1977-07-01,180801,1977,7
1977-08-01,201734,1977,8
1977-09-01,176875,1977,9
1977-10-01,174115,1977,10
1977-11-01,188334,1977,11
1977-12-01,196185,1977,12
1978-01-01,190941,1978,1
1978-02-01,171115,1978,2
1978-03-01,185946,1978,3
1978-04-01,187843,1978,4
1978-05-01,200037,1978,5
1978-06-01,185781,1978,6
1978-07-01,202644,1978,7
1978-08-01,227451,1978,8
1978-09-01,208930,1978,9
1978-10-01,205506,1978,10
1978-11-01,219369,1978,11
1978-12-01,218565,1978,12
1979-01-01,213232,1979,1
1979-02-01,188148,1979,2
1979-03-01,208566,1979,3
1979-04-01,212036,1979,4
1979-05-01,218180,1979,5
1979-06-01,218916,1979,6
1979-07-01,235195,1979,7
1979-08-01,251071,1979,8
1979-09-01,228072,1979,9
1979-10-01,236702,1979,10
1979-11-01,250583,1979,11
1979-12-01,249366,1979,12
1980-01-01,244681,1980,1
1980-02-01,234846,1980,2
1980-03-01,254054,1980,3
1980-04-01,246241,1980,4
1980-05-01,257562,1980,5
1980-06-01,253752,1980,6
1980-07-01,267734,1980,7
1980-08-01,301484,1980,8
1980-09-01,252745,1980,9
1980-10-01,265013,1980,10
1980-11-01,281055,1980,11
1980-12-01,291865,1980,12
1981-01-01,279156,1981,1
1981-02-01,268209,1981,2
1981-03-01,275807,1981,3
1981-04-01,278169,1981,4
1981-05-01,282975,1981,5
1981-06-01,294470,1981,6
1981-07-01,308379,1981,7
1981-08-01,345296,1981,8
1981-09-01,293905,1981,9
1981-10-01,300799,1981,10
1981-11-01,318522,1981,11
1981-12-01,332421,1981,12
1982-01-01,321696,1982,1
1982-02-01,277439,1982,2
1982-03-01,303970,1982,3
1982-04-01,293002,1982,4
1982-05-01,303051,1982,5
1982-06-01,316120,1982,6
1982-07-01,332958,1982,7
1982-08-01,352457,1982,8
1982-09-01,302663,1982,9
1982-10-01,313689,1982,10
1982-11-01,333171,1982,11
1982-12-01,340929,1982,12
1983-01-01,301092,1983,1
1983-02-01,291979,1983,2
1983-03-01,312900,1983,3
1983-04-01,302653,1983,4
1983-05-01,316637,1983,5
1983-06-01,323149,1983,6
1983-07-01,324985,1983,7
1983-08-01,347292,1983,8
1983-09-01,322576,1983,9
1983-10-01,318194,1983,10
1983-11-01,331275,1983,11
1983-12-01,362872,1983,12
1984-01-01,324081,1984,1
1984-02-01,313342,1984,2
1984-03-01,322451,1984,3
1984-04-01,343985,1984,4
1984-05-01,358059,1984,5
1984-06-01,348995,1984,6
1984-07-01,358759,1984,7
1984-08-01,387662,1984,8
1984-09-01,354815,1984,9
1984-10-01,351392,1984,10
1984-11-01,364580,1984,11
1984-12-01,392996,1984,12
1985-01-01,340840,1985,1
1985-02-01,343067,1985,2
1985-03-01,374569,1985,3
1985-04-01,356582,1985,4
1985-05-01,350887,1985,5
1985-06-01,390928,1985,6
1985-07-01,364918,1985,7
1985-08-01,398953,1985,8
1985-09-01,357356,1985,9
1985-10-01,352006,1985,10
1985-11-01,365469,1985,11
1985-12-01,402333,1985,12
1986-01-01,359810,1986,1
1986-02-01,352936,1986,2
1986-03-01,360529,1986,3
1986-04-01,346617,1986,4
1986-05-01,347740,1986,5
1986-06-01,384605,1986,6
1986-07-01,375483,1986,7
1986-08-01,411537,1986,8
1986-09-01,376641,1986,9
1986-10-01,368762,1986,10
1986-11-01,387711,1986,11
1986-12-01,417321,1986,12
1987-01-01,404650,1987,1
1987-02-01,361511,1987,2
1987-03-01,395166,1987,3
1987-04-01,388946,1987,4
1987-05-01,404460,1987,5
1987-06-01,429645,1987,6
1987-07-01,441798,1987,7
1987-08-01,461302,1987,8
1987-09-01,413059,1987,9
1987-10-01,421329,1987,10
1987-11-01,434099,1987,11
1987-12-01,471636,1987,12
1988-01-01,431635,1988,1
1988-02-01,432329,1988,2
1988-03-01,464304,1988,3
1988-04-01,446776,1988,4
1988-05-01,450760,1988,5
1988-06-01,468964,1988,6
1988-07-01,495765,1988,7
1988-08-01,512148,1988,8
1988-09-01,477259,1988,9
1988-10-01,480302,1988,10
1988-11-01,516054,1988,11
1988-12-01,543700,1988,12
1989-01-01,506179,1989,1
1989-02-01,488700,1989,2
1989-03-01,538332,1989,3
1989-04-01,505403,1989,4
1989-05-01,516145,1989,5
1989-06-01,524275,1989,6
1989-07-01,556509,1989,7
1989-08-01,568050,1989,8
1989-09-01,545623,1989,9
1989-10-01,546460,1989,10
1989-11-01,582149,1989,11
1989-12-01,604453,1989,12
1990-01-01,594792,1990,1
1990-02-01,541693,1990,2
1990-03-01,598589,1990,3
1990-04-01,568366,1990,4
1990-05-01,581977,1990,5
1990-06-01,595200,1990,6
1990-07-01,594662,1990,7
1990-08-01,635086,1990,8
1990-09-01,578910,1990,9
1990-10-01,589980,1990,10
1990-11-01,621951,1990,11
1990-12-01,665141,1990,12
1991-01-01,575826,1991,1
1991-02-01,506446,1991,2
1991-03-01,555604,1991,3
1991-04-01,572893,1991,4
1991-05-01,570969,1991,5
1991-06-01,671534,1991,6
1991-07-01,636840,1991,7
1991-08-01,690212,1991,8
1991-09-01,640814,1991,9
1991-10-01,638645,1991,10
1991-11-01,691891,1991,11
1991-12-01,728274,1991,12
1992-01-01,661555,1992,1
1992-02-01,677454,1992,2
1992-03-01,661903,1992,3
1992-04-01,670441,1992,4
1992-05-01,637599,1992,5
1992-06-01,708571,1992,6
1992-07-01,724192,1992,7
1992-08-01,755605,1992,8
1992-09-01,700838,1992,9
1992-10-01,687546,1992,10
1992-11-01,745416,1992,11
1992-12-01,801101,1992,12
1993-01-01,777957,1993,1
1993-02-01,668745,1993,2
1993-03-01,757973,1993,3
1993-04-01,738391,1993,4
