month,region_name,value
1986-01-01,South East Asia,168748.0
1986-01-01,North East Asia,63298.0
1986-01-01,South Asia,25303.0
1986-01-01,Middle East,7300.0
1986-01-01,Oceania,50977.0
1986-01-01,Europe,36800.0
1986-01-01,North America,6066.0
1986-02-01,South East Asia,173559.0
1986-02-01,North East Asia,67847.0
1986-02-01,South Asia,22858.0
1986-02-01,Middle East,5205.0
1986-02-01,Oceania,47101.0
1986-02-01,Europe,30527.0
1986-02-01,North America,4706.0
1986-03-01,South East Asia,174895.0
1986-03-01,North East Asia,70040.0
1986-03-01,South Asia,24508.0
1986-03-01,Middle East,5539.0
1986-03-01,Oceania,38826.0
1986-03-01,Europe,39760.0
1986-03-01,North America,5544.0
1986-04-01,South East Asia,161344.0
1986-04-01,North East Asia,69177.0
1986-04-01,South Asia,24142.0
1986-04-01,Middle East,6667.0
1986-04-01,Oceania,34334.0
1986-04-01,Europe,43317.0
1986-04-01,North America,6176.0
1986-05-01,South East Asia,161868.0
1986-05-01,North East Asia,67085.0
1986-05-01,South Asia,25125.0
1986-05-01,Middle East,5565.0
1986-05-01,Oceania,35357.0
1986-05-01,Europe,43760.0
1986-05-01,North America,7091.0
1986-06-01,South East Asia,190122.0
1986-06-01,North East Asia,72199.0
1986-06-01,South Asia,26698.0
1986-06-01,Middle East,5521.0
1986-06-01,Oceania,39149.0
1986-06-01,Europe,40504.0
1986-06-01,North America,8993.0
1986-07-01,South East Asia,183127.0
1986-07-01,North East Asia,64540.0
1986-07-01,South Asia,25260.0
1986-07-01,Middle East,7012.0
1986-07-01,Oceania,43210.0
1986-07-01,Europe,44187.0
1986-07-01,North America,6392.0
1986-08-01,South East Asia,181744.0
1986-08-01,North East Asia,88558.0
1986-08-01,South Asia,27618.0
1986-08-01,Middle East,8457.0
1986-08-01,Oceania,46018.0
1986-08-01,Europe,48724.0
1986-08-01,North America,8514.0
1986-09-01,South East Asia,161364.0
1986-09-01,North East Asia,79775.0
1986-09-01,South Asia,26258.0
1986-09-01,Middle East,4961.0
1986-09-01,Oceania,53478.0
1986-09-01,Europe,42049.0
1986-09-01,North America,6865.0
1986-10-01,South East Asia,169133.0
1986-10-01,North East Asia,71875.0
1986-10-01,South Asia,26960.0
1986-10-01,Middle East,4044.0
1986-10-01,Oceania,56030.0
1986-10-01,Europe,33531.0
1986-10-01,North America,5610.0
1986-11-01,South East Asia,182522.0
1986-11-01,North East Asia,72364.0
1986-11-01,South Asia,30080.0
1986-11-01,Middle East,4668.0
1986-11-01,Oceania,51123.0
1986-11-01,Europe,38544.0
1986-11-01,North America,6261.0
1986-12-01,South East Asia,217652.0
1986-12-01,North East Asia,68557.0
1986-12-01,South Asia,30667.0
1986-12-01,Middle East,4418.0
1986-12-01,Oceania,51193.0
1986-12-01,Europe,35204.0
1986-12-01,North America,7235.0
1987-01-01,South East Asia,185002.0
1987-01-01,North East Asia,72739.0
1987-01-01,South Asia,31656.0
1987-01-01,Middle East,6976.0
1987-01-01,Oceania,58024.0
1987-01-01,Europe,40174.0
1987-01-01,North America,7901.0
1987-02-01,South East Asia,167283.0
1987-02-01,North East Asia,73812.0
1987-02-01,South Asia,25634.0
1987-02-01,Middle East,4713.0
1987-02-01,Oceania,50737.0
1987-02-01,Europe,32333.0
1987-02-01,North America,5155.0
1987-03-01,South East Asia,178802.0
1987-03-01,North East Asia,83121.0
1987-03-01,South Asia,28980.0
1987-03-01,Middle East,4852.0
1987-03-01,Oceania,44414.0
1987-03-01,Europe,45551.0
1987-03-01,North America,7274.0
1987-04-01,South East Asia,178290.0
1987-04-01,North East Asia,78883.0
1987-04-01,South Asia,27160.0
1987-04-01,Middle East,5559.0
1987-04-01,Oceania,42770.0
1987-04-01,Europe,47060.0
1987-04-01,North America,6809.0
1987-05-01,South East Asia,181489.0
1987-05-01,North East Asia,87207.0
1987-05-01,South Asia,31854.0
1987-05-01,Middle East,4362.0
1987-05-01,Oceania,39666.0
1987-05-01,Europe,49011.0
1987-05-01,North America,8557.0
1987-06-01,South East Asia,211122.0
1987-06-01,North East Asia,82865.0
1987-06-01,South Asia,31002.0
1987-06-01,Middle East,6065.0
1987-06-01,Oceania,42507.0
1987-06-01,Europe,45088.0
1987-06-01,North America,8308.0
1987-07-01,South East Asia,210498.0
1987-07-01,North East Asia,82464.0
1987-07-01,South Asia,29026.0
1987-07-01,Middle East,7799.0
1987-07-01,Oceania,54450.0
1987-07-01,Europe,46585.0
1987-07-01,North America,8137.0
1987-08-01,South East Asia,213750.0
1987-08-01,North East Asia,101540.0
1987-08-01,South Asia,26100.0
1987-08-01,Middle East,6548.0
1987-08-01,Oceania,49064.0
1987-08-01,Europe,51182.0
1987-08-01,North America,10083.0
1987-09-01,South East Asia,177367.0
1987-09-01,North East Asia,88824.0
1987-09-01,South Asia,27787.0
1987-09-01,Middle East,6153.0
1987-09-01,Oceania,54254.0
1987-09-01,Europe,45974.0
1987-09-01,North America,8547.0
1987-10-01,South East Asia,188233.0
1987-10-01,North East Asia,86534.0
1987-10-01,South Asia,27964.0
1987-10-01,Middle East,4847.0
1987-10-01,Oceania,62359.0
1987-10-01,Europe,40873.0
1987-10-01,North America,7129.0
1987-11-01,South East Asia,205616.0
1987-11-01,North East Asia,85631.0
1987-11-01,South Asia,30585.0
1987-11-01,Middle East,4445.0
1987-11-01,Oceania,55080.0
1987-11-01,Europe,41903.0
1987-11-01,North America,7791.0
1987-12-01,South East Asia,249704.0
1987-12-01,North East Asia,76112.0
1987-12-01,South Asia,33089.0
1987-12-01,Middle East,4364.0
1987-12-01,Oceania,57270.0
1987-12-01,Europe,38248.0
1987-12-01,North America,9031.0
1988-01-01,South East Asia,191017.0
1988-01-01,North East Asia,77227.0
1988-01-01,South Asia,30856.0
1988-01-01,Middle East,6346.0
1988-01-01,Oceania,66065.0
1988-01-01,Europe,46888.0
1988-01-01,North America,9462.0
1988-02-01,South East Asia,203679.0
1988-02-01,North East Asia,81818.0
1988-02-01,South Asia,27912.0
1988-02-01,Middle East,5770.0
1988-02-01,Oceania,58861.0
1988-02-01,Europe,43648.0
1988-02-01,North America,7621.0
1988-03-01,South East Asia,208622.0
1988-03-01,North East Asia,97369.0
1988-03-01,South Asia,30160.0
1988-03-01,Middle East,5221.0
1988-03-01,Oceania,56331.0
1988-03-01,Europe,54851.0
1988-03-01,North America,8691.0
1988-04-01,South East Asia,199568.0
1988-04-01,North East Asia,92515.0
1988-04-01,South Asia,27762.0
1988-04-01,Middle East,5258.0
1988-04-01,Oceania,50663.0
1988-04-01,Europe,59088.0
1988-04-01,North America,8493.0
1988-05-01,South East Asia,205201.0
1988-05-01,North East Asia,94580.0
1988-05-01,South Asia,28898.0
1988-05-01,Middle East,5121.0
1988-05-01,Oceania,48215.0
1988-05-01,Europe,56327.0
1988-05-01,North America,9253.0
1988-06-01,South East Asia,220527.0
1988-06-01,North East Asia,92540.0
1988-06-01,South Asia,29342.0
1988-06-01,Middle East,5427.0
1988-06-01,Oceania,50190.0
1988-06-01,Europe,57712.0
1988-06-01,North America,10132.0
1988-07-01,South East Asia,230217.0
1988-07-01,North East Asia,91960.0
1988-07-01,South Asia,29489.0
1988-07-01,Middle East,8598.0
1988-07-01,Oceania,64515.0
1988-07-01,Europe,57461.0
1988-07-01,North America,10330.0
1988-08-01,South East Asia,231126.0
1988-08-01,North East Asia,107704.0
1988-08-01,South Asia,26713.0
1988-08-01,Middle East,7019.0
1988-08-01,Oceania,58092.0
1988-08-01,Europe,65949.0
1988-08-01,North America,11621.0
1988-09-01,South East Asia,204196.0
1988-09-01,North East Asia,103303.0
1988-09-01,South Asia,25303.0
1988-09-01,Middle East,6227.0
1988-09-01,Oceania,62314.0
1988-09-01,Europe,61277.0
1988-09-01,North America,10885.0
1988-10-01,South East Asia,215196.0
1988-10-01,North East Asia,98003.0
1988-10-01,South Asia,26655.0
1988-10-01,Middle East,4678.0
1988-10-01,Oceania,71399.0
1988-10-01,Europe,52075.0
1988-10-01,North America,8950.0
1988-11-01,South East Asia,245388.0
1988-11-01,North East Asia,100153.0
1988-11-01,South Asia,29505.0
1988-11-01,Middle East,4336.0
1988-11-01,Oceania,67984.0
1988-11-01,Europe,54987.0
1988-11-01,North America,9846.0
1988-12-01,South East Asia,280738.0
1988-12-01,North East Asia,92946.0
1988-12-01,South Asia,32496.0
1988-12-01,Middle East,4714.0
1988-12-01,Oceania,68678.0
1988-12-01,Europe,49605.0
1988-12-01,North America,10177.0
1989-01-01,South East Asia,224040.0
1989-01-01,North East Asia,95370.0
1989-01-01,South Asia,31556.0
1989-01-01,Middle East,6279.0
1989-01-01,Oceania,75320.0
1989-01-01,Europe,57857.0
1989-01-01,North America,11558.0
1989-02-01,South East Asia,230209.0
1989-02-01,North East Asia,97426.0
1989-02-01,South Asia,26141.0
1989-02-01,Middle East,5640.0
1989-02-01,Oceania,67255.0
1989-02-01,Europe,50179.0
1989-02-01,North America,8469.0
1989-03-01,South East Asia,245874.0
1989-03-01,North East Asia,112092.0
1989-03-01,South Asia,29881.0
1989-03-01,Middle East,5615.0
1989-03-01,Oceania,61731.0
1989-03-01,Europe,69315.0
1989-03-01,North America,10316.0
1989-04-01,South East Asia,221095.0
1989-04-01,North East Asia,105410.0
1989-04-01,South Asia,27663.0
1989-04-01,Middle East,5189.0
1989-04-01,Oceania,58838.0
1989-04-01,Europe,70814.0
1989-04-01,North America,11448.0
1989-05-01,South East Asia,241862.0
1989-05-01,North East Asia,105686.0
1989-05-01,South Asia,28992.0
1989-05-01,Middle East,5648.0
1989-05-01,Oceania,51258.0
1989-05-01,Europe,64931.0
